"adsh","name","ProfitLoss","Revenues","profit_margin"
"0000030625-23-000077","FLOWSERVE CORP",198015000,0,Inf
"0001104659-23-039369","ACROPOLIS INFRASTRUCTURE ACQUISITION CORP.",205069,0,Inf
"0001477932-23-001946","LIGHTBRIDGE CORP",7497857,0,Inf
"0001640334-23-000487","GLACIER WORLDWIDE, INC.",118770,0,Inf
"0001683168-23-001275","U. S. PREMIUM BEEF, LLC",169359000,0,Inf
"0001477932-23-002029","CROWN EQUITY HOLDINGS, INC.",739975,2935,25212.1
"0001477932-23-001554","CAMBER ENERGY, INC.",107741965,597255,18039.52
"0001640334-23-000526","GENERAL ENTERPRISE VENTURES, INC.",2907828,62732,4635.32
"0001477932-23-001788","UNITED HEALTH PRODUCTS, INC.",1687501,37500,4500
"0001903596-23-000201","APPTECH PAYMENTS CORP.",16281,450,3618
"0001477932-23-002039","BIOCORRX INC.",4376832,213841,2046.77
"0000733590-23-000003","TRANSCONTINENTAL REALTY INVESTORS INC",469004000,36660000,1279.33
"0001102238-23-000004","AMERICAN REALTY INVESTORS INC",475317000,37544000,1266.03
"0001558370-23-003952","SENSEONICS HOLDINGS, INC.",142119000,16389000,867.16
"0001903596-23-000255","CAPSTONE COMPANIES, INC.",2700000,346474,779.28
"0000894245-23-000032","AEI INCOME & GROWTH FUND 26 LLC",2113645,304429,694.3
"0001660734-23-000033","TRITON INTERNATIONAL LTD",746922000,147874000,505.11
"0001213900-23-025519","MEGA MATRIX CORP.",9300000,1927400,482.52
"0001558370-23-004109","TERRITORIAL BANCORP INC.",16156000,3420000,472.4
"0001558370-23-001675","ISTAR INC.",600414000,158051000,379.89
"0000885508-23-000017","STRATUS PROPERTIES INC",89743000,37498000,239.33
"0001477932-23-002073","METATERRA CORP.",37732,16705,225.87
"0001477932-23-002106","ICONIC BRANDS, INC.",30806447,14745261,208.92
"0000894245-23-000030","AEI INCOME & GROWTH FUND XXI LTD PARTNERSHIP",1531185,807075,189.72
"0001140361-23-014864","TRILOGY INTERNATIONAL PARTNERS INC.",437039000,238517000,183.23
"0001654954-23-003260","AMERICAN BIO MEDICA CORP",1410000,913000,154.44
"0001213900-23-017628","MARIS TECH LTD.",3688346,2504896,147.25
"0001477932-23-002112","FLORA GROWTH CORP.",52629000,37171000,141.59
"0000894245-23-000034","AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP",598495,434359,137.79
"0001498233-23-000018","CEPTON, INC.",9380000,7426000,126.31
"0000950170-23-005259","APARTMENT INCOME REIT CORP.",970050000,773723000,125.37
"0001193125-23-056045","UNITED BANKSHARES INC/WV",379627000,311957000,121.69
"0001477932-23-001657","EDIBLE GARDEN AG INC",12453000,11552000,107.8
"0001477932-23-001887","EDIBLE GARDEN AG INC",12453000,11552000,107.8
"0001637757-23-000004","CLEARWAY ENERGY LLC",1.282e+09,1.19e+09,107.73
"0001393311-23-000012","PUBLIC STORAGE",4366274000,4182163000,104.4
"0000874501-23-000040","AMBAC FINANCIAL GROUP INC",5.22e+08,5.05e+08,103.37
"0000950170-23-005603","VERRA MOBILITY CORP",92475000,94318000,98.05
"0001654954-23-002860","CREXENDO, INC.",35413000,37554000,94.3
"0001410578-23-000179","UNITED STATES NATURAL GAS FUND, LP",75029489,80016838,93.77
"0001603145-23-000005","NEXTERA ENERGY PARTNERS, LP",1.121e+09,1.211e+09,92.57
"0001410578-23-000193","UNITED STATES 12 MONTH NATURAL GAS FUND, LP",3632266,3951786,91.91
"0001567683-23-000011","CLEARWAY ENERGY, INC.",1.06e+09,1.19e+09,89.08
"0001039828-23-000032","AMERICAN EQUITY INVESTMENT LIFE HOLDING CO",1221302000,1415501000,86.28
"0001214659-23-004059","NEW CONCEPT ENERGY, INC.",181000,212000,85.38
"0000950170-23-003950","GREYSTONE HOUSING IMPACT INVESTORS LP",65562166,81073577,80.87
"0001602065-23-000007","VIPER ENERGY PARTNERS LP",655004000,866467000,75.59
"0001558370-23-001074","ALPINE INCOME PROPERTY TRUST, INC.",33955000,45203000,75.12
"0001628280-23-005726","STARWOOD PROPERTY TRUST, INC.",1059061000,1464716000,72.3
"0001628280-23-004630","BLACK STONE MINERALS, L.P.",476480000,663604000,71.8
"0000014846-23-000005","BRT APARTMENTS CORP.",50099000,70527000,71.04
"0000921825-23-000011","FIRST INDUSTRIAL REALTY TRUST INC",381612000,539929000,70.68
"0000912752-23-000010","SINCLAIR BROADCAST GROUP INC",2.701e+09,3.928e+09,68.76
"0000950170-23-011406","REDWOOD MORTGAGE INVESTORS IX",4058000,6086000,66.68
"0001654954-23-004101","RECRUITER.COM GROUP, INC.",16474688,25372274,64.93
"0000894245-23-000031","AEI INCOME & GROWTH FUND 25 LLC",866110,1355069,63.92
"0001698990-23-000010","MAGNOLIA OIL & GAS CORP",1050249000,1694493000,61.98
"0000776867-23-000004","WHITE MOUNTAINS INSURANCE GROUP LTD",712400000,1157900000,61.53
"0001564590-23-001902","PROLOGIS, INC.",3555398000,5973692000,59.52
"0000803649-23-000030","EQUITY COMMONWEALTH",37357000,63140000,59.17
"0000950170-23-005575","MEDICAL PROPERTIES TRUST INC",903819000,1542851000,58.58
"0001558370-23-001423","LTC PROPERTIES INC",100584000,175153000,57.43
"0001104659-23-030602","DANAOS CORP",559210000,993344000,56.3
"0001411494-23-000010","APOLLO ASSET MANAGEMENT, INC.",1994320000,3551356000,56.16
"0001558370-23-002394","INNOVATIVE INDUSTRIAL PROPERTIES INC",154386000,276359000,55.86
"0000950170-23-004172","GETTY REALTY CORP /MD/",90043000,165588000,54.38
"0001575965-23-000007","GAMING & LEISURE PROPERTIES, INC.",703285000,1311685000,53.62
"0001156375-23-000020","CME GROUP INC.",2.691e+09,5019400000,53.61
"0001558370-23-001306","SAFEHOLD INC.",144684000,270313000,53.52
"0001558370-23-001907","KIMBELL ROYALTY PARTNERS, LP",130794286,248059185,52.73
"0000888491-23-000006","OMEGA HEALTHCARE INVESTORS INC",438841000,878244000,49.97
"0001854964-23-000007","NEWLAKE CAPITAL PARTNERS, INC.",22356000,44794000,49.91
"0000950170-23-006714","SITIO ROYALTIES CORP.",184131000,369612000,49.82
"0000832480-23-000013","UTG INC",34364346,69708835,49.3
"0000950170-23-004459","HESS MIDSTREAM LP",620600000,1275200000,48.67
"0000950170-23-004699","APARTMENT INVESTMENT & MANAGEMENT CO",92158000,190344000,48.42
